hasil_prediksi,nama_restoran,menu_makanan,alamat,kecamatan,kabupaten,crangka,harga,reting
2,"ABI BURGER KEBAB, ROTI BAKAR, Teuku Nyak Arief",Roti Bakar Bandung Rasa Coklat Keju,"Jl. Teuku Nyak Arief, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,cafe,18750,4
4,"Linge Coffee Home Roasting, Kp. Laksana",Wine Coffee Cold Brew,"Jl. Mesjid Alhuda No. 54, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,35000,4
2,"Mie Pangsit Ayam Keriting Khas Medan, Kampung Laksana",Mie Kasar Ayam + Pangsit 2,"Jl. Al-Huda No. 32B, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,19000,4
2,"Kuta Alam Roastery, Kuta Alam",ced Chocolate LAVA Latte,"Jl. Jambi, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,20000,4
4,"Soto Riza, Peunayong",Soto Daging,"Jl. Khairil Anwar No. 11a, Peunayang, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,32000,4
3,"Mie Pangsit Ayam ETE, Teluk Betung",Mie Pangsit Goreng,"Jl. Teluk Betung 5, Kuta Alam, Kota Banda Aceh",Kuta Alam,Banda Aceh,cafe,23750,4
1,"Ayam Geprek Istimewa, Pocut Baren",Ayam Geprek Istimewa Level 5 + Nasi,"Jl. Pocut Baren No. 57B, Keuramat, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,15000,4
2,"Bubur Ayam Jakarta Bintaro, T. Panglima Polem",Bubur Ayam Jakarta,"Jl. T Panglima Polem (Depan Vihara), Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,23000,4
4,"Rumoh Dimsum, Kaswari",Dimsum Ayam (1/2 Box) frozen,"Jl. Kaswari No.3, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,47000,4
1,"Mie Pangsit Duta Bireuen, Lamnyong",Mie Pangsit Kuah,"Jl. T. Nyak Arief (Lamnyong), Lamgugob, Syiah Kuala, Banda Aceh (Di Samping JNT/ Diseberang Awak Awai 2)",Kuta Alam,Banda Aceh,cafe,17500,4
3,Olenka Cafe & dining,Ice Coffee Zalinka,"Jl. teuku lamgugop No.31, Lamgugop, kec. Syiah Kuala, Kota Banda Aceh",Syiah Kuala,Banda Aceh,cafe,27500,4
4,"Roti'O, Poma Aceh",Kopdar 1 (Kopi'O Brown Sugar & Roti'O),"Jl. Tengku Daud Beureuh No. 173, Bandar Baru, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,30000,4
3,Station Coffee Premium Banda Aceh,Avocado Coffee,"Desa Mibo, Kec. Banda Raya, Kota Banda Aceh, Aceh.",Banda Raya,Banda Aceh,cafe,25000,4
1,"Nasi Gurih & Lontong Pagi Bu Ema, Kuta Alam",Nasi Gurih Telur Dadar,"Jl. T Hamzah Bendahara (Disamping Hotel Diana), Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,15000,4
4,"D'COST, Lippo Plaza Aceh",Nasi Capcay Seafood,"Jl. T. Hasan Dek, Beurawe, Kec. Kuta Alam, Kota Banda Aceh, Aceh 23127",Kuta Alam,Banda Aceh,restoran,32500,4
2,"Chatime x Cupbop, Lippo Plaza Aceh",Choco Mousse (Large),"Lippo Plaza, GF - 03, Jl. T Hasan Dek, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,20000,4
3,"Mr. HOT, T. Iskandar",Indomie Ayam Geprek,"Jl. T. Iskandar No. 4 (Belakang Matahari), Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,28000,4
4,"Alex's Kitchen, Lamlagang",Mie Ayam Jamur,"Jl. Sultan Malikul Saleh, Banda Raya, Banda Aceh",Banda Raya,Banda Aceh,restoran,32000,4
4,"Jiwa Toast, Plaza Aceh Mall",Spicy Bulgogi,"Plaza Aceh Mall, Jl. T. Hasan Dek, Beurawe, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,37000,4
3,"Jala Kebab, Sultan Malikul Saleh",Kebab Ayam Jumbo,"Jl. Sultan Malikul Shaleh (Depan Stadion Harapan Bangsa), Banda Raya, Banda Aceh",Banda Raya,Banda Aceh,cafe,25000,4
1,"Urban Teahouse, Lamlagang",Japanese Matcha,"Jl. Sultan Malikus saleh no. 93, Lam Lagang, Kec. Banda Raya, Kota Banda Aceh, Aceh 23231",Banda Raya,Banda Aceh,cafe,17000,4
1,"Bubur Ayam Pasundan, Blang Padang",Bubur Ayam Spesial Pasundan,"Jl. K Ibrahim, Meruxa, Banda Aceh",Meuraxa,Banda Aceh,cafe,15000,4
1,"Sosis Telur (SOSTEL), Ulee Lheue",Sosis Telur Balado,"Jl. Pelabuhan Lama Ulee Lheue, Meuraxa, Banda Aceh",Meuraxa,Banda Aceh,cafe,8000,4
3,"Ayam Bakar KQ-5, Banda Aceh",Naskot Ayam Lamongan,"Jl. Diponegoro Simpang 5, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,28000,4
4,"Quality Fried Chicken, Pocut Baren",Creative 1,"Jl. Pocut Bare (Depan Dinas Kebersihan Kota Banda Aceh), Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,33000,4
1,"Ketoprak Jakarta, Kp. Keuramat","Telur,Tahu,Bumbu Kacang","Jl. Nuri No. 13, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,15000,4
1,"Permata Hati Pastry Bakery and Cake, Meuraxa",Expresso Double,"Jl. Sultan Iskandar Muda No. 217, Meuraxa, Banda Aceh",Meuraxa,Banda Aceh,cafe,10000,3
2,Robinson Bakery,Roti Tawar Besar,Jln. A.Yani No.31 Peunayong Banda Aceh,Kuta Alam,Banda Aceh,cafe,20000,4
2,CAFFEE LIMA,Lechy Yakult,Jl. Politeknik Aceh Beurawe,Kuta Alam,Banda Aceh,cafe,20000,4
2,"Aroma Bakery and Cake Shop, Beurawe, Jl. T. Hasan Dek",Roti Sobek Coklat,"Jl. T. Hasan Dek, Beurawe, Kec. Kuta Alam, Kota Banda Aceh, Aceh",Kuta Alam,Banda Aceh,cafe,20800,4
2,"HM Dimsum & Kebab, Lhong Raya - Banda Raya",Dimsum Ayam / isi 4,Choco hazelnut Latte,Banda Raya,Banda Aceh,cafe,20000,4
3,"Maroon Cake and Pastry, Lampriet",Pain au Chocolate,"Jl. T.M. Daud Beureueh No. 153 (Wisma Lampriet), Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,25000,4
3,Haba Coffee,Haba Dark Latte,"Jl. Tgk Moh. Daud Beureuh, Lampriet, Kec. Kuta Alam, Kota Banda Aceh",Kuta Alam,Banda Aceh,cafe,29000,4
4,"JCO, Nyak Makam Aceh",Donuts 1/2 Dzn,"Jl. T Panglima Nyak Makam No. 7, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,cafe,62000,4
2,"Ligat Coffee, Gp Keuramat",Ais Kopsu Ligat,"Jl. Teladan, Keuramat, Kuta Alam, Kota Banda Aceh",Kuta Alam,Banda Aceh,cafe,20000,3
3,Kanarasa Coffee,Kopi Kana,Jl P Nyak Makam No 3 Gampung Kota Baru Kecamatan Kuta Alam Banda Aceh,Kuta Alam,Banda Aceh,cafe,25000,4
1,"Banna Foody, Jeulingke",Basreng Premium Pedas Daun Jeruk,"Jl. T. Nyak Arief, Syiah Kuala, Banda Aceh (Disamping Hotel Syariah Lingke)",Syiah Kuala,Banda Aceh,cafe,11000,4
4,"Pempek Bingen, Kuta Alam, Jl Dharma No 16 Kuta Alam",Pempek Kapal Selam,Jl Dharma No 16 Kuta Alam,Kuta Alam,Banda Aceh,cafe,37000,4
2,"D'CHEV CHICKEN, Jl.Iskandar Muda,Blang Oi",Ayam Saus Korean + Keju,"Jl. Iskandar Muda No.2, Blang Oi, Banda Aceh",Meuraxa,Banda Aceh,cafe,20000,4
4,"ACEH BUMBU STORE (Oleh Oleh Bumbu Instan ), Peunayong, Banda Aceh",Sambal Baby Cumi Bawang,"Jl. A. Yani No. 64, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,29500,3
1,"BUBUR KANJI BAMBY AWAK AWAI, PEUNAYONG Kuta Alam BANDAACEH",Bubur Kanji Ayam Pakai Cup 650 ml,JL.H.T.Daudsyah No 1 Peunayong Banda Aceh,Kuta Alam,Banda Aceh,restoran,17000,4
3,"Dapur Deqa, Warkop Dewantara",Soto Daging,"Jl. T. Panglima Polem No 149, Peunayong, Kuta Alam, Kota Banda Aceh",Kuta Alam,Banda Aceh,restoran,27000,4
1,"Warung Sumar, Kuta Alam/Asrama Kuta Alam",Mie Bakso Besar,Jl.T Hamzah Bendahara Tni Ad Kuta Alam Depan Penerbit Erlangga Kuta Alam Banda Aceh,Kuta Alam,Banda Aceh,cafe,15000,4
4,"Sei Sapiku Sei Sapi, Aceh",Burger Se'i Ayam,"Jln Sultan Iskandar Muda, Cot Lamkuweueh, Meuraxa, Banda Aceh City, Aceh,",Meuraxa,Banda Aceh,restoran,34000,4
2,"Kopi Kenangan, SPBU Lamnyong Aceh",Kopi Susu Black Aren,"Jl. Teuku Nyak Arief, Lamnyong, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,cafe,23000,4
2,"Soto Sikembar, Kec Kuta Alam (Haw Haw Kopi )",Nasi Putih + Sop Ayam,"Jl. Mayjen T Hamzah Bendahara, Kuta Alam, Kec Kuta Alam Banda Aceh",Kuta Alam,Banda Aceh,restoran,23000,4
4,"Bakso Isaura Premium, Peunayong",Bakso Mangkok Mie Ayam,"Jl. WR Suoratman No 77, Peunayong, Kec Kuta Alam, Kota Banda Aceh",Kuta Alam,Banda Aceh,cafe,40000,3
2,"Baso Aci Akang, Banda Aceh",Mie Jebew Boci,"Jl. Teuku Moh Daud Beureueh No.147, Beurawe, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,cafe,20000,4
1,"Muda Bakso Lampriet & Mie Ayam Pangsit, Kuta Alam",Indomie Bakso,"Jl. Cumi Cumi No. 19, Kuta Alam, Banda Aceh",Kuta Alam,Banda Aceh,restoran,14990,4
1,"Foodpedia, Banda Aceh",Curacou Lime Blue,"Jl. T Nyak Arief Lamgugop, Syiah Kuala, Banda Aceh",Syiah Kuala,Banda Aceh,cafe,15000,4
1,"Aluk Kupi, Kuta Alam/Peunayong/Aluk Kupi",Kue Kacang,Jln Twk Mohammad Daudsyah No 56,Kuta Alam,Banda Aceh,cafe,7000,4
