,No.,Nama_Cafe_atau_Restoran,lokasi_restoran,jenis_masakan/minuman ,ulasan,sosial_media,nama_makanan,Kecamatan,Kabupaten,Cafe/restoran,Harga_Rata-rata,rating,Rentang_Harga_Rata-Rata,kecamatan,kabupaten,CR_Angka
31,32,"Burger Bangor Express, Banda Aceh","Jl. Masjid Al Huda No. 8A Kp. Laksana, Kec. Kuta Alam, Banda Aceh 23121","Barat, Jajanan, Cepat saji, Ayam & bebek",Mantap. Tanpa saus udah nikmat.,@burgerbangor.bandaaceh,Buy 1 Get 1 Burger Bangor,Kuta Alam,Banda Aceh,cafe,50000,4.7,4,2,1,2
32,33,"Koekie Katsu, Syiah Kuala","Jl. Syiah Kuala No. 38-32 Bandar Baru, Kuta Alam, Banda Aceh","Cepat saji, Jepang, Aneka nasi",terbaik emang katsu disini,@koekie.katsu,Chicken Katsu Sambal Matah,Kuta Alam,Banda Aceh,restoran,28000,4.6,3,2,1,1
33,34,"Richeese Factory, Banda Aceh","Jl. Tengku H. M. Daud Beureuh, Kuta Alam, Banda Aceh","Aneka nasi, Cepat saji, Ayam & bebek","enakk bgt, saus keju nya bkin nagihh, pedes nya juga nampolll",@richeese_factory,Combo Super Hot Deal 1,Kuta Alam,Banda Aceh,restoran,28000,4.7,3,2,1,1
34,35,"Queen Food & Drink, Kec. Syiahkuala, Rukoh","Jl. Utama Rukoh, Lorong Lamara I Perumahan Aiaman Regency, No.A4, Kec Syiahkuala, Banda Aceh","Minuman, Jajanan, Aneka nasi",nasi gorengnya enakkk,@Queen_Food&Drink,Nasi Ayam Kalasan,Syiah Kuala,Banda Aceh,restoran,18000,4.6,2,1,1,1
35,36,"Ayam Penyet Nagoya Baru, Batoh","Jl. T. M. Hasan, Banda Raya, Banda Aceh",Aneka nasi,mantappp.nasinya enak.kemasannya rapi,,Ayam Penyet + Nasi Uduk,Banda Raya,Banda Aceh,restoran,22000,4.7,2,3,1,1
36,37,"Martabak Durian Samudra Pase - Mdsp, Kuta Alam",Jl Tgk Daud Beureueh,"Bakso & soto, Martabak, Aneka nasi",enak kayak yg di geudong,@martabak_durian_geudong_pasee,Martabak Durian,Kuta Alam,Banda Aceh,restoran,13000,4.2,1,2,1,1
37,38,"Abbi Kebab Dan Burger, Ulee Kareng","Jl. Panglima Nyak Makam, Lampineung, Kuta Baru Kec. Kuta Alam, Banda Aceh",Barat,mantapppp banget rasanya.,@Abbi_Kebab&Burger,Burger Big Telur Daging Sosis,Kuta Alam,Banda Aceh,cafe,12500,4.7,1,2,1,2
38,39,"Ayam Geprek Dan Nasi Bakar Mahasiswa, Jalan Lingkar Kampus UIN",Jalan Lingkar Kampus UIN Ar-Raniry,"Aneka nasi, Ayam & bebek, Minuman",Enak banget selalu langganan disini,@NasiBakar_mhs,PROMOOO... Nasi Ayam Bakar,Syiah Kuala,Banda Aceh,restoran,21500,4.1,2,1,1,1
39,40,"Pajooh Kebab, Syiah Kuala","Jl. Teuku Nyak Arief, Syiah Kuala, Banda Aceh","Cepat saji, Timur Tengah","manteeep , puas dengan porsinya",@pajooh_kebab,Kebab sedang,Syiah Kuala,Banda Aceh,cafe,18000,4.7,2,1,1,2
40,41,"Nasi Bebek Ayam Istimewa, Peunayong","Jl. Pocut Baren, Peunayong, Kuta Alam, Banda Aceh",Ayam & bebek,"selalu enakkkk, dan sesuai request..",Na,Nasi Kari Bbek,Kuta Alam,Banda Aceh,restoran,20000,4.7,2,2,1,1
